univNameCn,univNameEn,univTags,univCategory,province,score,ranking
浙江万里学院,Zhejiang Wanli University,,理工,浙江,122.1,361
湖北科技学院,Hubei University of Science and Technology,,综合,湖北,121.9,364
长春大学,Changchun University,,综合,吉林,121.7,365
黑龙江工程学院,Heilongjiang Institute of Technology,,理工,黑龙江,121.6,366
安阳师范学院,Anyang Normal University,,师范,河南,121.4,367
洛阳师范学院,Luoyang Normal University,,师范,河南,121.4,367
江苏第二师范学院,Jiangsu Second Normal University,,师范,江苏,120.7,369
常州工学院,Changzhou Institute of Technology,,理工,江苏,120.6,370
攀枝花学院,Panzhihua University,,综合,四川,120.2,371
陕西理工大学,Shaanxi University of Technology,,理工,陕西,120.2,371
唐山师范学院,Tangshan Normal University,,师范,河北,119.9,373
黑龙江科技大学,Heilongjiang University of Science and Technology,,理工,黑龙江,119.7,374
惠州学院,Huizhou University,,综合,广东,119.7,374
内江师范学院,Neijiang Normal University,,师范,四川,119.1,376
泰山学院,Taishan University,,综合,山东,119.1,376
德州学院,Dezhou University,,综合,山东,118.7,378
湖南第一师范学院,Hunan First Normal University,,师范,湖南,117.8,379
衡阳师范学院,Hengyang Normal University,,师范,湖南,117.2,380
西藏农牧学院,Tibet Agriculture and Animal Husbandry University,,农业,西藏,117.2,380
宿迁学院,Suqian College,,综合,江苏,117.1,382
湖北汽车工业学院,Hubei University of Automotive Technology,,理工,湖北,117.0,383
衢州学院,Quzhou University,,理工,浙江,116.9,384
佳木斯大学,Jiamusi University,,综合,黑龙江,116.8,385
北华航天工业学院,North China Institute of Aerospace Engineering,,理工,河北,116.7,386
齐鲁师范学院,Qilu Normal University,,师范,山东,116.7,386
玉林师范学院,Yulin Normal University,,师范,广西,116.7,386
宜春学院,Yichun University,,综合,江西,116.2,389
湖南城市学院,Hunan City University,,综合,湖南,116.1,390
九江学院,Jiujiang University,,综合,江西,116.1,390
绵阳师范学院,Mianyang Teachers' College,,师范,四川,116.1,390
宝鸡文理学院,Baoji University of Arts and Sciences,,师范,陕西,115.9,393
河南城建学院,Henan University of Urban Construction,,理工,河南,115.7,394
滁州学院,Chuzhou University,,师范,安徽,115.6,395
河南工程学院,Henan University of Engineering,,理工,河南,115.5,396
广西科技大学,Guangxi University of Science and Technology,,理工,广西,115.3,397
徐州工程学院,Xuzhou Institute of Technology,,理工,江苏,115.3,397
重庆三峡学院,Chongqing Three Gorges University,,综合,重庆,115.0,399
南阳理工学院,Nanyang Institute of Technology,,理工,河南,114.6,400
肇庆学院,Zhaoqing University,,综合,广东,114.6,400
皖西学院,West AnHui University,,师范,安徽,114.4,402
湖北工程学院,Hubei Engineering University,,综合,湖北,114.3,403
金陵科技学院,Jinling Institute of Technology,,综合,江苏,114.3,403
长春工程学院,Changchun Institute of Technology,,理工,吉林,114.0,405
上饶师范学院,Shangrao Normal University,,师范,江西,113.8,406
西安文理学院,Xi'an University,,师范,陕西,113.7,407
营口理工学院,YingKou Institute of Technology,,理工,辽宁,113.6,408
潍坊学院,Weifang University,,综合,山东,113.3,409
信阳农林学院,Xinyang Agriculture and Forestry University,,农业,河南,113.1,410
湖南文理学院,Hunan University of Arts and Science,,综合,湖南,113.0,411
商丘师范学院,Shangqiu Normal University,,师范,河南,112.9,412
广东石油化工学院,Guangdong University of Petrochemical Technology,,综合,广东,112.7,413
山东管理学院,Shandong Management University,,综合,山东,112.7,413
宜宾学院,Yibin University,,综合,四川,112.7,413
中国民用航空飞行学院,Civil Aviation Flight University of China,,理工,四川,112.7,413
