打印次数,发货小包装数量,发货金额,发货毛重,发货体积,发货大包装数量,调整单对应的原单,代垫费用应收金额,WMS系统实际拣货数量,发货单WMS系统锁定库存优先级,折扣金额,provience,time
1,20,3008.0,16.5,2.5,5.0,195022815,0.0,20,5,0.0,湖南,2020-01-14 00:00:00
1,218,1698.0,116.325,1.11642,18.0,195197205,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,96,153.6,17.36,0.108528,4.0,195198465,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,30,7294.92,43.0,0.1920633,5.0,195023365,0.0,30,5,0.0,湖南,2020-01-14 00:00:00
1,60,15289.5,86.0,0.3841266,10.0,195023525,0.0,60,5,0.0,湖南,2020-01-14 00:00:00
1,12,1536.0,20.0,0.016,2.0,195111161,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,6,780.0,5.0,0.003,1.0,195181465,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,48,864.0,1.6,0.005,2.0,195181369,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,504,4633.08,168.61,2.04941018,82.0,194916721,0.0,504,5,0.0,湖南,2020-01-12 00:00:00
1,1292,11836.59,449.87,5.3646205,211.0,194953227,0.0,1292,1,0.0,湖南,2020-01-13 00:00:00
1,50,533.26,26.5,0.05,5.0,195036656,0.0,50,5,0.0,湖南,2020-01-14 00:00:00
1,10,145.9,1.25,0.0125,1.25,195036725,0.0,10,5,0.0,湖南,2020-01-14 00:00:00
1,988,9429.23,272.31,1.40612397,71.0,194953286,0.0,988,5,0.0,湖南,2020-01-13 00:00:00
1,529,5109.24,164.235,1.63207158,135.0,194953289,0.0,529,5,0.0,湖南,2020-01-13 00:00:00
1,462,4223.2,514.15,1.83188393,135.25,195016707,0.0,462,1,0.0,湖南,2020-01-14 00:00:00
1,1204,10843.25,427.52,5.7645767,220.0,194953235,0.0,1204,1,0.0,湖南,2020-01-13 00:00:00
1,358,3649.87,448.3,2.5890396,143.0,195036624,0.0,358,1,0.0,湖南,2020-01-14 00:00:00
1,646,6362.24,184.16,2.17856624,95.0,195003398,0.0,646,5,0.0,湖南,2020-01-13 00:00:00
1,650,6066.49,613.26,3.51727431,177.0,194934239,0.0,650,5,0.0,湖南,2020-01-12 00:00:00
1,100,1228.25,10.0,0.1,10.0,195036718,0.0,100,5,0.0,湖南,2020-01-14 00:00:00
1,187,1682.52,48.69166666,1.11791468,15.08333335,195206743,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,3,0.0,0.036,0.016,3.0,195207471,0.0,0,5,0.0,湖南,2020-01-16 14:31:28
0,1,0.0,0.16,0.01,1.0,195207608,0.0,0,5,0.0,湖南,2020-01-16 14:32:50
1,18,5112.0,15.6,0.04686653,1.5,195121787,0.0,18,5,0.0,湖南,2020-01-15 00:00:00
6,180,483.0,5.25,0.89166666,3.33333332,195065561,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
0,37,0.0,0.075,0.109,37.0,195204696,0.0,0,5,0.0,湖南,2020-01-12 00:00:00
0,4,430.4,0.012,0.006,4.0,195206556,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,20210,73714.6,1730.093416,34.653386,656.0,195147725,0.0,20210,5,0.0,湖南,2020-01-15 00:00:00
0,6,1265.92,6.25,0.01891536,0.5,195138570,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,107,782.01,75.74333332,0.08116667,7.83333334,195062262,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,124,678.39,76.9,0.24533333,7.08333333,195062119,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
0,6,1265.92,6.25,0.01891536,0.5,195138115,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,214,581.4,102.07666667,0.70560001,7.25,195042940,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
0,60,17090.14,56.65,0.17220135,5.0,195129924,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,42,8469.12,3.5,0.1225,3.5,195129377,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,3,604.94,0.25,0.00875,0.25,195128742,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,1,201.65,0.08333333,0.00291667,0.08333333,195127451,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,100,20306.25,12.63333333,0.2939164,8.33333333,195126948,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,1,201.65,0.08333333,0.00291667,0.08333333,195126249,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,24,4839.5,2.0,0.07,2.0,195124351,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,18,326.16,9.138,0.044352,1.5,195038394,0.0,18,5,0.0,湖南,2020-01-14 00:00:00
1,24,434.88,12.184,0.059136,2.0,195038458,0.0,24,5,0.0,湖南,2020-01-14 00:00:00
1,72,1304.64,36.552,0.177408,6.0,195038281,0.0,72,5,0.0,湖南,2020-01-14 00:00:00
2,42,2520.0,19.6,0.35,7.0,195120872,0.0,42,5,0.0,湖南,2020-01-15 00:00:00
1,268,3122.26,29.8,1.18,17.0,195211050,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,14,360.0,9.33333333,0.01166667,1.16666667,194968539,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,6,300.0,2.8,0.05,1.0,195203563,0.0,6,5,0.0,湖南,2020-01-16 00:00:00
1,14,360.0,9.33333333,0.01166667,1.16666667,194981495,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,14,360.0,9.33333333,0.01166667,1.16666667,194981227,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,14,360.0,9.33333333,0.01166667,1.16666667,195065911,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,153335,136048.29,7064.62566667,927.13030083,2792.54333333,195210531,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,112192,119356.08,6259.748,797.64234,2348.41,195208907,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,3,463.0,2.7,0.0089505,0.24999999,195126424,0.0,3,5,0.0,湖南,2020-01-15 00:00:00
0,3,463.0,2.7,0.0089505,0.24999999,195126411,0.0,3,5,0.0,湖南,2020-01-15 00:00:00
0,1,201.65,0.08333333,0.00291667,0.08333333,195129156,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,1040,9225.75,306.448,4.910106,72.0,195212528,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,3,463.0,2.7,0.0089505,0.24999999,195126398,0.0,3,5,0.0,湖南,2020-01-15 00:00:00
0,48,7226.0,43.2,0.143208,4.0,195126420,0.0,48,5,0.0,湖南,2020-01-15 00:00:00
1,1110,5414.5,1062.44,14.5745,111.0,195025584,0.0,1110,1,0.0,湖南,2020-01-14 00:00:00
1,36000,174000.0,11100.0,15719.004,1500.0,195056059,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
0,39,2103.85,3.648,0.039,39.0,195160257,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,3,175.95,0.09,0.003,3.0,195159521,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,149,13093.68,3.6839,0.4113,149.0,195221225,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,36,1815.35,2.034,0.036,36.0,195223808,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,6,282.01,0.66,0.006,6.0,195224242,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,27270,100000.0,6318.0,618.0,1818.0,195190520,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,35715,100000.0,2381.0,2381.0,2381.0,195222380,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,1500,4600.0,846.0,2.5,100.0,195054350,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
0,15,4431.0,36.716,0.272,15.0,195233673,0.0,0,5,379.0,湖南,2020-01-16 00:00:00
0,1,548.0,0.001,0.001,1.0,195233672,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,16,2271.0,4.5438,0.0472,16.0,195233676,0.0,0,5,916.0,湖南,2020-01-16 00:00:00
0,90,41820.0,5.68,4.15,90.0,195233679,0.0,0,5,33900.0,湖南,2020-01-16 00:00:00
0,9,1912.0,3.608,0.159,9.0,195233681,0.0,0,5,771.2,湖南,2020-01-16 00:00:00
0,9,0.0,2.72133333,0.09518833,0.675,195226933,143.17,0,5,0.0,湖南,2020-01-16 00:00:00
1,2,0.0,0.04608333,0.00083333,0.04166667,195195654,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,12374,60850.88,1198.05,25.66,509.0,195020025,0.0,12374,1,0.0,湖南,2020-01-14 00:00:00
1,16,0.0,8.332,0.046,1.1,195140151,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,120,0.0,41.03571429,14.48094286,14.21428571,195123617,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,49,0.0,176.47142857,0.58328571,22.32857143,195122935,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,23,0.0,154.12,0.5089393,18.5,195083962,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,30,0.0,2.25,0.5125,3.75,195083707,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,72,0.0,14.18071429,0.78979182,7.76428571,195081056,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,76,0.0,101.45142857,0.33247256,14.88571429,195080256,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,138,0.0,25.11410714,0.13736602,13.87142857,195062608,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,60,0.0,45.384375,1.21186917,41.27083334,195061932,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,65,742.0,9.025,0.11566919,2.70833332,195208499,0.0,65,5,0.0,湖南,2020-01-16 00:00:00
1,450,0.0,103.80291666,5.38212617,49.775,195053295,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,12,163.2,2.56,0.03,1.0,195189551,0.0,12,5,0.0,湖南,2020-01-16 00:00:00
1,25,168.0,5.25,0.012,1.0,195189629,0.0,25,5,0.0,湖南,2020-01-16 00:00:00
1,25,153.75,5.66,0.0257,1.0,195190046,0.0,25,5,0.0,湖南,2020-01-16 00:00:00
2,10,700.0,19.6,0.12304,2.0,194954089,0.0,10,5,0.0,湖南,2020-01-13 00:00:00
1,115,591.6,14.00951705,0.14729718,4.04772726,195173607,0.0,115,5,0.0,湖南,2020-01-16 00:00:00
1,763,4263.57,92.15123168,1.75274871,30.26666666,195113597,0.0,763,1,0.0,湖南,2020-01-16 00:00:00
2,244,1301.5,71.63333334,0.96721726,12.41666666,195245463,0.0,0,5,0.0,湖南,2020-01-17 00:00:00
1,33,0.0,10.68747024,0.12396204,2.45654762,195003631,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,5,0.0,2.84642857,0.20206069,0.38571429,195002766,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,32,0.0,75.8125,0.88981048,30.15,195002712,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,7,0.0,35.4575,0.21314284,4.2,195002585,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,18,900.0,29.7,138.003732,3.0,195193496,0.0,18,5,0.0,湖南,2020-01-16 00:00:00
2,96,52.0,52.4,0.10474496,4.0,195182785,0.0,96,5,0.0,湖南,2020-01-16 00:00:00
1,15,0.0,4.290625,0.00910488,0.8125,195000857,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,12,1476.0,18.5,0.0216,2.0,195240724,0.0,0,5,0.0,湖南,2020-01-17 00:00:00
1,4800,12720.0,1324.0,200.0,200.0,195115341,0.0,4800,5,0.0,湖南,2020-01-14 00:00:00
1,123,0.0,20.9125,0.26599116,10.5,195082394,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,25,0.0,1.25,0.625,3.125,195076348,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,360,0.0,55.338125,0.49179183,10.4125,195075323,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
0,2,344.4,3.363,0.004,2.0,195247145,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
0,31,5540.15,433.749,0.089,31.0,195246717,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,24,6755.52,34.4,0.15365064,4.0,194837257,0.0,24,5,0.0,湖南,2020-01-10 00:00:00
1,8,1203.2,11.2,1.28,2.0,195020251,0.0,8,5,0.0,湖南,2020-01-14 00:00:00
1,24,3609.6,24.3,3.0,6.0,195021130,0.0,24,5,0.0,湖南,2020-01-14 00:00:00
0,1,470.4,0.002,0.003,1.0,195252445,0.0,0,5,0.0,湖南,2020-01-17 10:57:50
1,1600,7295.6,465.0,0.4,130.0,195139287,0.0,1600,5,0.0,湖南,2020-01-15 00:00:00
2,6,1380.0,2.525,2.01325,0.5,195247587,0.0,0,5,0.0,湖南,2020-01-17 00:00:00
1,12000,58000.0,3700.0,5239.668,500.0,195142235,0.0,12000,5,0.0,湖南,2020-01-15 00:00:00
2,140,9196.0,788.832,5.28384,35.0,195192274,,140,1,0.0,湖南,2020-01-16 00:00:00
1,9903,22498.38,5728.1,115.6715,712.0,194971879,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,165,750.75,11.0,0.33,11.0,194981955,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
0,600,1152.0,416.0,0.6,40.0,195016262,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
0,3150,8430.0,1900.0,3.155,250.0,195015648,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
0,3150,8525.0,2200.0,3.155,250.0,195039704,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
2,236,201.0,3.2,0.61866667,3.44444444,195218220,0.0,236,1,0.0,湖南,2020-01-16 00:00:00
0,9,2742.0,0.1608,0.069,9.0,195192889,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,24,481.68,20.8,0.04,4.0,195224681,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,15,3752.75,0.18,0.015,15.0,195268632,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
0,1,0.0,0.002,0.003,1.0,195269258,0.0,0,5,0.0,湖南,2020-01-17 14:20:43
0,2,0.0,0.4,0.02,2.0,195269406,0.0,0,5,0.0,湖南,2020-01-17 14:21:49
1,2088,14964.0,124.17,2.09992696,58.0,195258706,0.0,2088,5,0.0,湖南,2020-01-17 00:00:00
1,1920,2976.0,147.6,0.776,40.0,195258338,0.0,1920,5,0.0,湖南,2020-01-17 00:00:00
0,2,0.0,0.06,0.02,2.0,195272379,0.0,0,5,0.0,湖南,2020-01-17 14:51:23
0,24,4105.29,0.072,0.024,24.0,195270712,0.0,0,5,0.0,湖南,2020-01-17 00:00:00
1,1312,5491.52,199.244,1.119373,43.0,195017968,0.0,1312,5,0.0,湖南,2020-01-14 00:00:00
1,24,192.0,4.43,0.06,1.0,194637028,0.0,24,5,0.0,湖南,2020-01-07 15:56:36
1,1,39.8,1.0,0.16666667,0.16666667,195240832,0.0,1,5,0.0,湖南,2020-01-17 00:00:00
1,12,3003.6,17.2,0.07682532,2.0,195203777,26461.82,12,5,0.0,湖南,2020-01-16 00:00:00
1,132,47678.64,118.44,0.386683,22.0,195149863,0.0,132,5,0.0,湖南,2020-01-15 00:00:00
0,6,2133.0,6.6,0.0217,1.0,195202120,260.98,6,5,260.98,湖南,2020-01-16 00:00:00
0,12,4266.0,13.2,0.0434,2.0,195202029,521.95,12,5,521.95,湖南,2020-01-16 00:00:00
1,24,5402.4,34.4,0.15365064,4.0,195130445,0.0,24,5,0.0,湖南,2020-01-15 00:00:00
1,42,11927.4,51.09,0.1670925,7.0,195183969,35996.4,42,5,0.0,湖南,2020-01-16 00:00:00
1,12,0.0,17.2,0.07682532,2.0,194951236,3463.32,12,5,0.0,湖南,2020-01-13 00:00:00
1,6,2551.32,1.18,0.003161,1.0,195265416,0.0,6,5,0.0,湖南,2020-01-17 00:00:00
1,24,6417.6,26.95,0.07523588,3.5,195246677,0.0,24,5,0.0,湖南,2020-01-17 00:00:00
1,6,0.0,8.6,0.03841266,1.0,195244439,1365.24,6,5,0.0,湖南,2020-01-17 00:00:00
1,40,2930.0,201.36,0.30440704,10.0,195051169,0.0,40,5,0.0,湖南,2020-01-14 00:00:00
1,85,310.0,39.1,0.0443512,4.0,195051591,0.0,85,5,0.0,湖南,2020-01-14 00:00:00
1,12,3810.0,17.2,0.07682532,2.0,195264850,92752.8,12,5,0.0,湖南,2020-01-17 00:00:00
0,1,195.0,1.15833333,0.0034791,0.08333333,195243903,882.0,1,5,0.0,湖南,2020-01-17 00:00:00
0,21,4658.79,0.117,0.021,21.0,195281761,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,28,1632.4,0.35,0.35,3.5,195276710,0.0,0,5,0.0,湖南,2020-01-17 00:00:00
0,11,4571.73,0.076,0.039,11.0,195280010,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,9,0.0,3.2155,0.00674999,0.7,195275079,0.0,0,5,0.0,湖南,2020-01-17 00:00:00
1,32,0.0,21.46666667,1.05121688,3.33333333,195261855,6713.36,32,5,0.0,湖南,2020-01-17 00:00:00
3,8,316.0,40.0,0.04,2.0,195208664,0.0,8,5,0.0,湖南,2020-01-16 00:00:00
3,6,5040.0,6.5,0.003,1.0,195207990,0.0,6,5,0.0,湖南,2020-01-16 00:00:00
3,40,2542.0,183.61333333,0.33995792,9.66666667,195252480,0.0,40,5,0.0,湖南,2020-01-17 00:00:00
0,215,55169.25,2.311,0.229,215.0,195282308,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,528,1150.0,42.68,1.205523,11.0,194916101,0.0,528,5,0.0,湖南,2020-01-12 00:00:00
1,417,3920.75,121.394375,41.29927166,34.05208333,195123480,0.0,417,5,0.0,湖南,2020-01-15 00:00:00
1,300,2835.0,627.0,1.0,50.0,195210363,0.0,300,5,0.0,湖南,2020-01-16 00:00:00
1,1280,6745.16,199.3028,60.5908,114.0,194976100,0.0,1280,1,0.0,湖南,2020-01-13 00:00:00
0,85,20701.65,0.579,0.103,85.0,195284178,0.0,0,5,0.0,湖南,2020-01-14 00:00:00
1,120,0.0,25.2,0.1,10.0,194961896,0.0,120,5,0.0,湖南,2020-01-13 00:00:00
1,60,2736.0,70.0,0.4,20.0,195136811,0.0,60,5,0.0,湖南,2020-01-15 00:00:00
1,113,2898.0,34.96666667,0.478056,9.3,195274138,0.0,113,5,0.0,湖南,2020-01-17 00:00:00
0,223,48266.63,1.398,0.247,223.0,195286134,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,100,593.07,27.0,0.082,10.0,195138286,0.0,100,1,0.0,湖南,2020-01-15 00:00:00
1,120,1346.86,15.4,0.1164,12.0,195064228,0.0,120,1,0.0,湖南,2020-01-14 00:00:00
1,50,614.13,5.0,0.05,5.0,195138290,0.0,50,5,0.0,湖南,2020-01-15 00:00:00
1,300,2518.53,2550.0,8.4,300.0,195111670,0.0,300,5,0.0,湖南,2020-01-15 00:00:00
1,220,2066.97,39.0,0.202,22.0,195064311,0.0,220,1,0.0,湖南,2020-01-14 00:00:00
1,56,519.33,56.0,1.68,56.0,195062985,0.0,56,5,0.0,湖南,2020-01-14 00:00:00
1,20,3008.0,2.5,2.5,5.0,195245903,0.0,20,5,0.0,湖南,2020-01-17 00:00:00
1,140,760.47,7.93666668,0.13751303,1.96666668,195283365,0.0,0,5,0.0,湖南,2020-01-17 00:00:00
1,118,2807.2,26.4,0.60799999,6.66666666,195135307,0.0,118,5,0.0,湖南,2020-01-15 00:00:00
1,740,7720.78,207.22,2.47713211,105.0,195002845,0.0,740,1,0.0,湖南,2020-01-13 00:00:00
1,400,3846.58,111.26,0.54349251,31.0,195002957,0.0,400,1,0.0,湖南,2020-01-13 00:00:00
1,107,11770.0,160.5,1.316528,21.4,194952892,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,572,3976.4,55.54,1.458,28.0,195247358,0.0,572,5,0.0,湖南,2020-01-17 00:00:00
2,405,1923.3,43.154,1.479585,15.0,195132315,0.0,405,1,0.0,湖南,2020-01-16 00:00:00
1,9,75.35,2.00691667,0.02292167,0.48750001,195271665,0.0,9,5,0.0,湖南,2020-01-17 00:00:00
1,6,492.0,7.95,0.054,0.75,195283071,0.0,6,5,0.0,湖南,2020-01-17 00:00:00
1,30,92.0,1.25,0.01025333,0.16666667,195284187,0.0,30,5,0.0,湖南,2020-01-17 00:00:00
1,30,335.0,4.25,0.05152918,1.24999998,195276389,0.0,30,5,0.0,湖南,2020-01-17 00:00:00
1,64,361.6,8.4,0.04734,2.0,195249603,0.0,64,5,0.0,湖南,2020-01-17 00:00:00
1,328,850.02,26.25,0.197,8.0,195245447,0.0,328,5,0.0,湖南,2020-01-17 00:00:00
1,32,150.4,4.1,0.02,1.0,195116872,0.0,32,5,0.0,湖南,2020-01-15 09:42:46
1,132,1331.2,19.366,0.69071,8.0,194918034,0.0,132,5,0.0,湖南,2020-01-12 09:57:56
1,9,0.0,40.5,0.18,9.0,194926548,0.0,9,5,0.0,湖南,2020-01-12 00:00:00
2,300,2518.53,2550.0,8.4,300.0,195111818,0.0,300,5,0.0,湖南,2020-01-15 00:00:00
0,7,2596.0,0.1374,0.015,7.0,195309148,0.0,0,5,585.0,湖南,2020-01-17 00:00:00
0,20,4105.0,6.288,0.684,20.0,195309212,0.0,0,5,1352.0,湖南,2020-01-17 00:00:00
0,9,1871.0,3.772,0.166,9.0,195309225,0.0,0,5,341.0,湖南,2020-01-17 00:00:00
0,378,937.8,229.9,0.472,29.0,195208013,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,1440,5139.65,360.0,2.4,120.0,195187669,0.0,1440,1,0.0,湖南,2020-01-16 00:00:00
1,146,878.0,35.64,0.106132,10.0,195321266,0.0,0,5,0.0,湖南,2020-01-18 00:00:00
1,126,631.24,47.12,0.10625,6.125,195213451,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,413,1324.82,184.9775,1.315,15.22916667,195221553,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,326,2095.28,109.89,0.29896,24.5,195321515,0.0,0,5,0.0,湖南,2020-01-18 00:00:00
2,40,2032.0,28.53333333,0.28,6.66666667,195257566,0.0,40,1,0.0,湖南,2020-01-17 00:00:00
1,35,283.6,7.91599999,0.02140906,2.37857143,195330870,0.0,0,5,0.0,湖南,2020-01-18 00:00:00
1,48,148.8,4.08,0.0235,1.0,195122089,0.0,48,1,0.0,湖南,2020-01-15 00:00:00
2,192,1006.08,34.92,0.1458,6.0,195133143,0.0,192,5,0.0,湖南,2020-01-15 00:00:00
1,335,960.0,40.78,0.1457,11.0,195271940,0.0,335,5,0.0,湖南,2020-01-17 00:00:00
1,322,1184.0,47.7,0.21823437,12.0,195119928,0.0,322,1,0.0,湖南,2020-01-15 00:00:00
1,426,2119.8,31.96,15.66,43.0,195204516,0.0,426,5,0.0,湖南,2020-01-16 00:00:00
1,110,777.6,53.03333334,0.11818667,9.83333333,195332037,0.0,0,5,0.0,湖南,2020-01-18 00:00:00
1,470,1505.5,273.4,8.2861,36.0,195133122,0.0,470,1,0.0,湖南,2020-01-15 00:00:00
1,80,586.4,16.90666668,0.054982,6.28333332,195332676,0.0,0,5,0.0,湖南,2020-01-18 00:00:00
1,600,516000.0,100.0,100.0,100.0,195272780,0.0,600,5,0.0,湖南,2020-01-17 00:00:00
1,2600,13155.22,697.42,3.475075,240.0,195111377,0.0,2600,5,0.0,湖南,2020-01-15 00:00:00
2,18288,79800.0,5738.8,8215.320432,762.0,195182380,7906.0,18288,5,0.0,湖南,2020-01-16 00:00:00
1,66,12017.22,53.7,0.17608757,5.5,195181575,0.0,66,5,0.0,湖南,2020-01-16 00:00:00
0,24,2335.03,9.6,0.040672,2.0,195339834,0.0,0,5,0.0,湖南,2020-01-18 16:08:28
1,18,180.3,8.4375,0.133875,1.425,195340395,0.0,0,5,0.0,湖南,2020-01-18 00:00:00
1,256,1610.2,114.59,3.111876,17.0,195342231,0.0,0,5,0.0,湖南,2020-01-18 00:00:00
1,4,30.12,17.2,0.02956034,1.0,195016902,0.0,4,5,0.0,湖南,2020-01-14 00:00:00
1,140,9188.0,798.248,9.72576,35.0,195193490,0.0,140,1,0.0,湖南,2020-01-16 00:00:00
1,80,5264.0,440.0,0.4,20.0,194958460,0.0,80,1,0.0,湖南,2020-01-11 00:00:00
3,8,513.68,45.8832,0.068384,2.0,195289302,0.0,8,1,0.0,湖南,2020-01-17 00:00:00
2,100,970.0,52.0,0.195,10.0,194977482,0.0,100,5,0.0,湖南,2020-01-13 00:00:00
1,160,720.0,33.6,0.2673,8.0,195314236,0.0,160,5,0.0,湖南,2020-01-18 00:00:00
0,5,1340.0,0.1354,0.013,5.0,195351727,0.0,0,5,551.0,湖南,2020-01-18 00:00:00
0,1,118.0,0.5,0.01,1.0,195351737,0.0,0,5,19.0,湖南,2020-01-18 00:00:00
0,1,598.0,0.5,0.01,1.0,195351738,0.0,0,5,0.0,湖南,2020-01-18 00:00:00
0,4,1362.0,0.1344,0.012,4.0,195351758,0.0,0,5,652.0,湖南,2020-01-18 00:00:00
0,36,8022.3,0.108,0.056,36.0,195361130,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,312,598.0,77.7,0.7014,19.0,195115312,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,270,1404.0,70.542,0.162,27.0,195316434,0.0,270,5,0.0,湖南,2020-01-18 00:00:00
1,264,0.0,0.77,0.0033,11.0,195339798,0.0,264,5,0.0,湖南,2020-01-18 00:00:00
0,106,22098.85,0.477,0.125,106.0,195364541,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,9,68.76,0.4525,0.014325,0.25,195321905,0.0,9,5,0.0,湖南,2020-01-17 00:00:00
1,9,68.76,0.4525,0.014325,0.25,195321925,0.0,9,5,0.0,湖南,2020-01-17 00:00:00
0,29,6049.45,0.407,0.03601,29.0,195359914,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
1,18,6310.44,18.75,0.05674605,1.5,195136461,3368.4,18,5,0.0,湖南,2020-01-15 00:00:00
1,60,378.0,14.4,0.18,6.0,195150299,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
1,0,0.0,0.0,0.0,0.0,195141038,0.0,0,5,0.0,湖南,2020-01-15 00:00:00
0,6,1890.8,0.032,0.025,6.0,195368378,0.0,0,5,0.0,湖南,2020-01-13 00:00:00
1,1600,9440.0,413.28,0.48,160.0,195322572,0.0,1600,5,0.0,湖南,2020-01-18 00:00:00
1,1600,9440.0,413.28,0.48,160.0,195323260,0.0,1600,5,0.0,湖南,2020-01-18 00:00:00
1,320,857.6,600.0,0.2,20.0,195344472,0.0,0,5,0.0,湖南,2020-01-18 00:00:00
1,20,495.72,5.15,0.08600001,1.88888888,195361335,0.0,20,5,0.0,湖南,2020-01-19 00:00:00
1,72,16.0,0.4,0.2,1.0,195378778,0.0,72,5,0.0,湖南,2020-01-19 00:00:00
0,6,0.0,0.18,0.06,6.0,195377263,0.0,0,5,0.0,湖南,2020-01-19 00:00:00
1,1152,2726.4,385.2,4.068,96.0,195360960,0.0,0,5,0.0,湖南,2020-01-19 00:00:00
1,2,0.0,0.16666667,0.16666667,0.33333333,195365795,363.46,2,5,0.0,湖南,2020-01-19 00:00:00
1,4,0.0,3.33333333,0.4,0.66666667,195368411,994.24,4,5,0.0,湖南,2020-01-19 00:00:00
2,192,42798.36,145.0,3.57081972,24.0,194593914,0.0,192,5,0.0,湖南,2020-01-07 00:00:00
0,92,0.0,1.0885,0.1015,92.0,195247524,0.0,0,5,0.0,湖南,2020-01-17 00:00:00
1,24,0.0,0.4555,0.19602,24.0,195225626,0.0,0,5,0.0,湖南,2020-01-16 00:00:00
