打印次数,发货小包装数量,发货金额,发货毛重,发货体积,发货大包装数量,调整单对应的原单,代垫费用应收金额,WMS系统实际拣货数量,发货单WMS系统锁定库存优先级,折扣金额,provience,time
1,18,4878.0,23.39,0.07552,3.0,194303855,0.0,18,5,0.0,湖南,2020-01-02 00:00:00
1,918,213931.44,1085.36,3.6049,153.0,194391691,722.16,918,5,0.0,湖南,2020-01-03 00:00:00
0,204,46239.6,247.38,6.6608475,34.0,194402461,0.0,204,5,0.0,湖南,2020-01-03 00:00:00
2,30,372.9,25.8,0.066,3.0,194308780,0.0,30,5,0.0,湖南,2020-01-02 00:00:00
2,30,372.9,25.8,0.066,3.0,194309638,0.0,30,5,0.0,湖南,2020-01-02 00:00:00
0,3,278.16,0.009,0.003,3.0,194419296,0.0,0,5,0.0,湖南,2020-01-03 00:00:00
0,145,33073.32,2.205,0.181,145.0,194420088,0.0,0,5,0.0,湖南,2020-01-03 00:00:00
0,7,2235.9,0.102,0.007,7.0,194420339,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,7,0.0,0.021,0.021,7.0,194395797,0.0,0,5,0.0,湖南,2020-01-03 00:00:00
0,6,197.24,0.018,0.018,6.0,194419283,0.0,0,5,0.0,湖南,2020-01-03 00:00:00
1,540,4207.5,33.0,0.26,15.0,194412611,0.0,540,1,0.0,湖南,2020-01-03 00:00:00
0,79,16947.92,1.446,0.121,79.0,194420669,0.0,0,5,0.0,湖南,2020-01-03 00:00:00
0,7,2184.5,0.102,0.007,7.0,194420795,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
0,7,2261.6,0.102,0.007,7.0,194420952,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
2,30000,176000.0,2334.3,33.83053,1000.0,194398585,0.0,30000,5,0.0,湖南,2020-01-03 00:00:00
0,510,113745.6,5.193,0.70818,510.0,194421019,0.0,0,5,0.0,湖南,2020-01-03 00:00:00
0,12,2448.0,0.036,0.036,12.0,194421059,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
0,116,25031.16,1.065,0.2,116.0,194421515,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
0,4,1284.4,0.012,0.004,4.0,194421722,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
0,7,2056.0,0.102,0.007,7.0,194422450,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
0,114,47490.3,1.925,0.14103,114.0,194422585,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,108,1391.2,13.376,0.35746,7.0,194385526,0.0,108,5,0.0,湖南,2020-01-03 00:00:00
1,96,511.7,13.67,0.0651,3.0,194385727,0.0,96,5,0.0,湖南,2020-01-03 00:00:00
1,24,192.0,4.43,0.06,1.0,194309874,0.0,24,5,0.0,湖南,2020-01-02 10:37:00
0,1,288.0,0.0336,0.003,1.0,194429193,0.0,0,5,0.0,湖南,2020-01-03 00:00:00
2,1428,14000.0,1249.5,1.9754,119.0,194315996,0.0,1428,5,0.0,湖南,2020-01-02 00:00:00
0,1,0.0,0.11,0.001,1.0,194440870,0.0,0,5,0.0,湖南,2020-01-04 09:42:54
0,23,6762.0,0.096,0.029,23.0,194440956,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,30,1350.0,40.0,0.05,5.0,194315615,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
1,60,231.0,10.0,0.08,4.0,194445400,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,37,0.0,5.428,1.532,37.0,194322076,0.0,0,5,0.0,湖南,2020-01-02 00:00:00
